"","CASENUM","COHORT","GENDER","STRATA","SCHOOLID","RACETH","STEM","year_from_baseline","urban","nkids","edulevel","health","time","MISSING","GENDER.int","health.cut"
"414",2751,"(1) Older","Male","(7) South-Urban",208,"(3) White",1,24,"(5) Rural/small town 49,999 or less",1,"<PHD",10,4,0,1,"10"
"786",2751,"(1) Older","Male","(7) South-Urban",208,"(3) White",1,25,"(5) Rural/small town 49,999 or less",1,"<PHD",10,5,0,1,"10"
"1158",2751,"(1) Older","Male","(7) South-Urban",208,"(3) White",1,26,"(5) Rural/small town 49,999 or less",1,"<PHD",10,6,0,1,"10"
"1530",2751,"(1) Older","Male","(7) South-Urban",208,"(3) White",1,27,NA,1,"<PHD",10,7,0,1,"10"
"43",2770,"(1) Older","Female","(9) South-Rural",245,"(2) Black",0,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,3,0,0,"8"
"415",2770,"(1) Older","Female","(9) South-Rural",245,"(2) Black",NA,24,NA,NA,NA,8,4,1,0,"8"
"787",2770,"(1) Older","Female","(9) South-Rural",245,"(2) Black",0,25,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,5,0,0,"8"
"1159",2770,"(1) Older","Female","(9) South-Rural",245,"(2) Black",NA,26,NA,NA,NA,NA,6,1,0,NA
"1531",2770,"(1) Older","Female","(9) South-Rural",245,"(2) Black",NA,27,NA,NA,NA,NA,7,1,0,NA
"230",2788,"(2) Younger","Male","(5) Northcentral-Suburban",123,NA,0,20,"(3) Urban areas and towns 500,000-999,999",2,"PHD",9,0,0,1,"9"
"602",2788,"(2) Younger","Male","(5) Northcentral-Suburban",123,NA,0,21,"(3) Urban areas and towns 500,000-999,999",3,"PHD",9,1,0,1,"9"
"974",2788,"(2) Younger","Male","(5) Northcentral-Suburban",123,NA,0,22,"(4) Urban areas & towns 50,000-499,999",3,"PHD",9,2,0,1,"9"
"1346",2788,"(2) Younger","Male","(5) Northcentral-Suburban",123,NA,0,23,"(2) Remainder urban area 1,000,000 or more",3,"PHD",9,3,0,1,"9"
"1718",2788,"(2) Younger","Male","(5) Northcentral-Suburban",123,NA,0,24,NA,3,"PHD",9,4,0,1,"9"
"231",2804,"(2) Younger","Male","(9) South-Rural",145,"(3) White",0,20,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",9,0,0,1,"9"
"603",2804,"(2) Younger","Male","(9) South-Rural",145,"(3) White",NA,21,"(3) Urban areas and towns 500,000-999,999",NA,NA,9,1,1,1,"9"
"975",2804,"(2) Younger","Male","(9) South-Rural",145,"(3) White",NA,22,"(3) Urban areas and towns 500,000-999,999",NA,NA,9,2,1,1,"9"
"1347",2804,"(2) Younger","Male","(9) South-Rural",145,"(3) White",0,23,"(3) Urban areas and towns 500,000-999,999",2,"PHD",9,3,0,1,"9"
"1719",2804,"(2) Younger","Male","(9) South-Rural",145,"(3) White",0,24,NA,2,"PHD",9,4,0,1,"9"
"232",2830,"(2) Younger","Male","(6) Northcentral-Rural",138,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",0,"<PHD",8,0,0,1,"8"
"604",2830,"(2) Younger","Male","(6) Northcentral-Rural",138,"(3) White",1,21,"(4) Urban areas & towns 50,000-499,999",0,"<PHD",8,1,0,1,"8"
"976",2830,"(2) Younger","Male","(6) Northcentral-Rural",138,"(3) White",1,22,"(4) Urban areas & towns 50,000-499,999",0,"<PHD",8,2,0,1,"8"
"1348",2830,"(2) Younger","Male","(6) Northcentral-Rural",138,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",0,"<PHD",8,3,0,1,"8"
"1720",2830,"(2) Younger","Male","(6) Northcentral-Rural",138,"(3) White",1,24,NA,0,"<PHD",8,4,0,1,"8"
"44",2880,"(1) Older","Male","(6) Northcentral-Rural",309,"(3) White",1,23,"(5) Rural/small town 49,999 or less",4,"<PHD",9,3,0,1,"9"
"416",2880,"(1) Older","Male","(6) Northcentral-Rural",309,"(3) White",1,24,"(5) Rural/small town 49,999 or less",4,"<PHD",9,4,0,1,"9"
"788",2880,"(1) Older","Male","(6) Northcentral-Rural",309,"(3) White",1,25,"(5) Rural/small town 49,999 or less",4,"<PHD",9,5,0,1,"9"
"1160",2880,"(1) Older","Male","(6) Northcentral-Rural",309,"(3) White",1,26,"(5) Rural/small town 49,999 or less",4,"<PHD",9,6,0,1,"9"
"1532",2880,"(1) Older","Male","(6) Northcentral-Rural",309,"(3) White",1,27,NA,4,"<PHD",9,7,0,1,"9"
"233",2904,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",1,20,"(1) Central Place 1,000,000 or more",2,"PHD",10,0,0,0,"10"
"605",2904,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",1,21,"(1) Central Place 1,000,000 or more",2,"PHD",10,1,0,0,"10"
"977",2904,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",1,22,"(1) Central Place 1,000,000 or more",2,"PHD",10,2,0,0,"10"
"1349",2904,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",1,23,"(1) Central Place 1,000,000 or more",2,"PHD",10,3,0,0,"10"
"1721",2904,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",1,24,NA,2,"PHD",10,4,0,0,"10"
"234",2914,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,20,"(1) Central Place 1,000,000 or more",0,"<PHD",8,0,0,1,"8"
"606",2914,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",0,21,"(5) Rural/small town 49,999 or less",0,"<PHD",8,1,0,1,"8"
"978",2914,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,22,"(5) Rural/small town 49,999 or less",0,"<PHD",8,2,0,1,"8"
"1350",2914,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,23,"(1) Central Place 1,000,000 or more",0,NA,NA,3,0,1,NA
"1722",2914,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,24,NA,0,"<PHD",NA,4,0,1,NA
"45",2917,"(1) Older","Male","(5) Northcentral-Suburban",219,"(3) White",1,23,"(5) Rural/small town 49,999 or less",5,"<PHD",9,3,0,1,"9"
"417",2917,"(1) Older","Male","(5) Northcentral-Suburban",219,"(3) White",1,24,"(5) Rural/small town 49,999 or less",5,"<PHD",9,4,0,1,"9"
"789",2917,"(1) Older","Male","(5) Northcentral-Suburban",219,"(3) White",1,25,"(5) Rural/small town 49,999 or less",5,"<PHD",9,5,0,1,"9"
"1161",2917,"(1) Older","Male","(5) Northcentral-Suburban",219,"(3) White",1,26,"(5) Rural/small town 49,999 or less",5,"<PHD",9,6,0,1,"9"
"1533",2917,"(1) Older","Male","(5) Northcentral-Suburban",219,"(3) White",1,27,NA,5,"<PHD",9,7,0,1,"9"
"235",2924,"(2) Younger","Male","(2) Northeast-Suburban",112,"(3) White",0,20,"(4) Urban areas & towns 50,000-499,999",2,"PHD",9,0,0,1,"9"
"607",2924,"(2) Younger","Male","(2) Northeast-Suburban",112,"(3) White",NA,21,NA,NA,NA,9,1,1,1,"9"
"979",2924,"(2) Younger","Male","(2) Northeast-Suburban",112,"(3) White",NA,22,NA,NA,NA,9,2,1,1,"9"
"1351",2924,"(2) Younger","Male","(2) Northeast-Suburban",112,"(3) White",NA,23,NA,NA,NA,NA,3,1,1,NA
"1723",2924,"(2) Younger","Male","(2) Northeast-Suburban",112,"(3) White",NA,24,NA,NA,NA,NA,4,1,1,NA
"46",2933,"(1) Older","Male","(5) Northcentral-Suburban",222,"(3) White",1,23,"(1) Central Place 1,000,000 or more",1,"PHD",9,3,0,1,"9"
"418",2933,"(1) Older","Male","(5) Northcentral-Suburban",222,"(3) White",1,24,"(1) Central Place 1,000,000 or more",1,"PHD",9,4,0,1,"9"
"790",2933,"(1) Older","Male","(5) Northcentral-Suburban",222,"(3) White",1,25,"(1) Central Place 1,000,000 or more",1,"PHD",9,5,0,1,"9"
"1162",2933,"(1) Older","Male","(5) Northcentral-Suburban",222,"(3) White",1,26,"(1) Central Place 1,000,000 or more",1,"PHD",9,6,0,1,"9"
"1534",2933,"(1) Older","Male","(5) Northcentral-Suburban",222,"(3) White",NA,27,NA,NA,NA,NA,7,1,1,NA
"236",2936,"(2) Younger","Female","(5) Northcentral-Suburban",121,"(4) Asian",0,20,"(2) Remainder urban area 1,000,000 or more",1,"PHD",10,0,0,0,"10"
"608",2936,"(2) Younger","Female","(5) Northcentral-Suburban",121,"(4) Asian",NA,21,NA,NA,NA,10,1,1,0,"10"
"980",2936,"(2) Younger","Female","(5) Northcentral-Suburban",121,"(4) Asian",NA,22,NA,NA,NA,10,2,1,0,"10"
"1352",2936,"(2) Younger","Female","(5) Northcentral-Suburban",121,"(4) Asian",0,23,"(2) Remainder urban area 1,000,000 or more",2,"PHD",10,3,0,0,"10"
"1724",2936,"(2) Younger","Female","(5) Northcentral-Suburban",121,"(4) Asian",0,24,NA,2,"PHD",10,4,0,0,"10"
"47",2938,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",1,23,"(5) Rural/small town 49,999 or less",2,"<PHD",9,3,0,1,"9"
"419",2938,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",1,24,"(5) Rural/small town 49,999 or less",2,"<PHD",9,4,0,1,"9"
"791",2938,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",1,25,"(5) Rural/small town 49,999 or less",2,"<PHD",9,5,0,1,"9"
"1163",2938,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",1,26,"(5) Rural/small town 49,999 or less",2,"<PHD",9,6,0,1,"9"
"1535",2938,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",1,27,NA,2,"<PHD",9,7,0,1,"9"
"48",2950,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,3,0,0,"8"
"420",2950,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",0,24,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,4,0,0,"8"
"792",2950,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",0,25,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,5,0,0,"8"
"1164",2950,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",0,26,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,6,0,0,"8"
"1536",2950,"(1) Older","Female","(5) Northcentral-Suburban",221,"(3) White",0,27,NA,2,"<PHD",8,7,0,0,"8"
"237",2955,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,20,"(3) Urban areas and towns 500,000-999,999",1,"PHD",10,0,0,1,"10"
"609",2955,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",NA,21,"(3) Urban areas and towns 500,000-999,999",NA,"PHD",10,1,1,1,"10"
"981",2955,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",NA,22,"(3) Urban areas and towns 500,000-999,999",NA,"PHD",10,2,1,1,"10"
"1353",2955,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,23,"(3) Urban areas and towns 500,000-999,999",2,"PHD",10,3,0,1,"10"
"1725",2955,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",1,24,NA,2,"PHD",10,4,0,1,"10"
"49",2966,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,23,"(5) Rural/small town 49,999 or less",2,"<PHD",9,3,0,1,"9"
"421",2966,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",0,24,"(5) Rural/small town 49,999 or less",2,"<PHD",9,4,0,1,"9"
"793",2966,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",0,25,"(5) Rural/small town 49,999 or less",2,"<PHD",9,5,0,1,"9"
"1165",2966,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",0,26,"(5) Rural/small town 49,999 or less",4,"<PHD",8,6,0,1,"8"
"1537",2966,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,27,NA,4,"<PHD",8,7,0,1,"8"
"238",3007,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",1,20,"(1) Central Place 1,000,000 or more",0,"<PHD",10,0,0,0,"10"
"610",3007,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",NA,21,"(2) Remainder urban area 1,000,000 or more",NA,"<PHD",10,1,1,0,"10"
"982",3007,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",NA,22,"(2) Remainder urban area 1,000,000 or more",NA,"<PHD",10,2,1,0,"10"
"1354",3007,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",10,3,0,0,"10"
"1726",3007,"(2) Younger","Female","(2) Northeast-Suburban",115,"(3) White",1,24,NA,0,"<PHD",10,4,0,0,"10"
"50",3009,"(1) Older","Male","(8) South-Suburban",228,NA,1,23,"(1) Central Place 1,000,000 or more",0,"<PHD",9,3,0,1,"9"
"422",3009,"(1) Older","Male","(8) South-Suburban",228,NA,NA,24,"(1) Central Place 1,000,000 or more",NA,"<PHD",9,4,1,1,"9"
"794",3009,"(1) Older","Male","(8) South-Suburban",228,NA,NA,25,"(1) Central Place 1,000,000 or more",NA,"<PHD",9,5,1,1,"9"
"1166",3009,"(1) Older","Male","(8) South-Suburban",228,NA,1,26,"(1) Central Place 1,000,000 or more",0,"<PHD",9,6,0,1,"9"
"1538",3009,"(1) Older","Male","(8) South-Suburban",228,NA,1,27,NA,1,"<PHD",9,7,0,1,"9"
"239",3021,"(2) Younger","Female","(2) Northeast-Suburban",112,"(3) White",0,20,"(5) Rural/small town 49,999 or less",2,"PHD",9,0,0,0,"9"
"611",3021,"(2) Younger","Female","(2) Northeast-Suburban",112,"(3) White",0,21,"(5) Rural/small town 49,999 or less",3,"PHD",9,1,0,0,"9"
"983",3021,"(2) Younger","Female","(2) Northeast-Suburban",112,"(3) White",0,22,"(5) Rural/small town 49,999 or less",3,"PHD",9,2,0,0,"9"
"1355",3021,"(2) Younger","Female","(2) Northeast-Suburban",112,"(3) White",0,23,"(5) Rural/small town 49,999 or less",3,"PHD",9,3,0,0,"9"
"1727",3021,"(2) Younger","Female","(2) Northeast-Suburban",112,"(3) White",0,24,NA,3,"PHD",9,4,0,0,"9"
"240",3061,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,0,0,1,"8"
"612",3061,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,21,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,1,0,1,"8"
"984",3061,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,22,"(4) Urban areas & towns 50,000-499,999",0,"PHD",8,2,0,1,"8"
"1356",3061,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",1,"PHD",8,3,0,1,"8"
"1728",3061,"(2) Younger","Male","(4) Northcentral-Urban",104,"(3) White",1,24,NA,1,"PHD",8,4,0,1,"8"
"241",3097,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",1,"PHD",8,0,0,0,"8"
"613",3097,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,21,"(4) Urban areas & towns 50,000-499,999",1,"PHD",8,1,0,0,"8"
"985",3097,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,22,"(4) Urban areas & towns 50,000-499,999",1,"PHD",8,2,0,0,"8"
"1357",3097,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",2,"PHD",8,3,0,0,"8"
"1729",3097,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,24,NA,2,"PHD",8,4,0,0,"8"
"51",3140,"(1) Older","Female","(8) South-Suburban",226,"(3) White",0,23,"(4) Urban areas & towns 50,000-499,999",0,"PHD",7,3,0,0,"7"
"423",3140,"(1) Older","Female","(8) South-Suburban",226,"(3) White",0,24,"(4) Urban areas & towns 50,000-499,999",0,"PHD",1,4,0,0,"1"
"795",3140,"(1) Older","Female","(8) South-Suburban",226,"(3) White",0,25,"(4) Urban areas & towns 50,000-499,999",0,"PHD",3,5,0,0,"3"
"1167",3140,"(1) Older","Female","(8) South-Suburban",226,"(3) White",0,26,"(4) Urban areas & towns 50,000-499,999",0,"PHD",3,6,0,0,"3"
"1539",3140,"(1) Older","Female","(8) South-Suburban",226,"(3) White",0,27,NA,0,"PHD",3,7,0,0,"3"
"52",3146,"(1) Older","Male","(3) Northeast-Rural",235,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,3,0,1,"9"
"424",3146,"(1) Older","Male","(3) Northeast-Rural",235,"(3) White",0,24,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,4,0,1,"9"
"796",3146,"(1) Older","Male","(3) Northeast-Rural",235,"(3) White",0,25,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",9,5,0,1,"9"
"1168",3146,"(1) Older","Male","(3) Northeast-Rural",235,"(3) White",0,26,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",9,6,0,1,"9"
"1540",3146,"(1) Older","Male","(3) Northeast-Rural",235,"(3) White",NA,27,NA,NA,NA,NA,7,1,1,NA
"53",3153,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",0,23,"(5) Rural/small town 49,999 or less",3,"<PHD",9,3,0,1,"9"
"425",3153,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",0,24,"(5) Rural/small town 49,999 or less",3,"<PHD",9,4,0,1,"9"
"797",3153,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",0,25,"(5) Rural/small town 49,999 or less",3,"<PHD",9,5,0,1,"9"
"1169",3153,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",NA,26,NA,NA,NA,NA,6,1,1,NA
"1541",3153,"(1) Older","Male","(6) Northcentral-Rural",238,"(3) White",0,27,NA,3,"<PHD",NA,7,0,1,NA
"242",3161,"(2) Younger","Male","(7) South-Urban",109,"(4) Asian",1,20,"(1) Central Place 1,000,000 or more",0,"PHD",7,0,0,1,"7"
"614",3161,"(2) Younger","Male","(7) South-Urban",109,"(4) Asian",1,21,"(1) Central Place 1,000,000 or more",0,"PHD",7,1,0,1,"7"
"986",3161,"(2) Younger","Male","(7) South-Urban",109,"(4) Asian",1,22,"(1) Central Place 1,000,000 or more",0,"PHD",7,2,0,1,"7"
"1358",3161,"(2) Younger","Male","(7) South-Urban",109,"(4) Asian",1,23,"(1) Central Place 1,000,000 or more",0,"PHD",7,3,0,1,"7"
"1730",3161,"(2) Younger","Male","(7) South-Urban",109,"(4) Asian",1,24,NA,0,"PHD",7,4,0,1,"7"
"54",3162,"(1) Older","Female","(7) South-Urban",208,"(3) White",0,23,"(4) Urban areas & towns 50,000-499,999",0,"PHD",9,3,0,0,"9"
"426",3162,"(1) Older","Female","(7) South-Urban",208,"(3) White",0,24,"(4) Urban areas & towns 50,000-499,999",0,"PHD",9,4,0,0,"9"
"798",3162,"(1) Older","Female","(7) South-Urban",208,"(3) White",0,25,"(4) Urban areas & towns 50,000-499,999",0,"PHD",9,5,0,0,"9"
"1170",3162,"(1) Older","Female","(7) South-Urban",208,"(3) White",0,26,"(4) Urban areas & towns 50,000-499,999",0,"PHD",9,6,0,0,"9"
"1542",3162,"(1) Older","Female","(7) South-Urban",208,"(3) White",0,27,NA,0,"PHD",9,7,0,0,"9"
"55",3175,"(1) Older","Male","(11) West-Suburban",231,"(4) Asian",1,23,"(2) Remainder urban area 1,000,000 or more",0,"PHD",8,3,0,1,"8"
"427",3175,"(1) Older","Male","(11) West-Suburban",231,"(4) Asian",1,24,"(2) Remainder urban area 1,000,000 or more",0,"PHD",8,4,0,1,"8"
"799",3175,"(1) Older","Male","(11) West-Suburban",231,"(4) Asian",1,25,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,5,0,1,"8"
"1171",3175,"(1) Older","Male","(11) West-Suburban",231,"(4) Asian",1,26,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,6,0,1,"8"
"1543",3175,"(1) Older","Male","(11) West-Suburban",231,"(4) Asian",1,27,NA,2,"PHD",8,7,0,1,"8"
"56",3188,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,3,0,1,"7"
"428",3188,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,24,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,4,0,1,"7"
"800",3188,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,25,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,5,0,1,"7"
"1172",3188,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,26,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",7,6,0,1,"7"
"1544",3188,"(1) Older","Male","(3) Northeast-Rural",302,"(3) White",1,27,NA,0,"<PHD",7,7,0,1,"7"
"57",3200,"(1) Older","Female","(11) West-Suburban",233,"(3) White",1,23,"(1) Central Place 1,000,000 or more",0,"<PHD",6,3,0,0,"6"
"429",3200,"(1) Older","Female","(11) West-Suburban",233,"(3) White",1,24,"(1) Central Place 1,000,000 or more",0,"<PHD",6,4,0,0,"6"
"801",3200,"(1) Older","Female","(11) West-Suburban",233,"(3) White",1,25,"(1) Central Place 1,000,000 or more",2,"<PHD",6,5,0,0,"6"
"1173",3200,"(1) Older","Female","(11) West-Suburban",233,"(3) White",1,26,"(1) Central Place 1,000,000 or more",2,"<PHD",6,6,0,0,"6"
"1545",3200,"(1) Older","Female","(11) West-Suburban",233,"(3) White",1,27,NA,2,"<PHD",6,7,0,0,"6"
"243",3202,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",1,"<PHD",8,0,0,1,"8"
"615",3202,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",0,21,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,1,0,1,"8"
"987",3202,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",0,22,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,2,0,1,"8"
"1359",3202,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",2,"<PHD",8,3,0,1,"8"
"1731",3202,"(2) Younger","Male","(5) Northcentral-Suburban",121,"(3) White",NA,24,NA,NA,NA,NA,4,1,1,NA
"244",3208,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",1,20,"(2) Remainder urban area 1,000,000 or more",0,"<PHD",8,0,0,0,"8"
"616",3208,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",NA,21,NA,NA,NA,8,1,1,0,"8"
"988",3208,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",NA,22,NA,NA,NA,8,2,1,0,"8"
"1360",3208,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",NA,23,NA,NA,NA,NA,3,1,0,NA
"1732",3208,"(2) Younger","Female","(8) South-Suburban",128,"(3) White",NA,24,NA,NA,NA,NA,4,1,0,NA
"245",3268,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,0,0,0,"8"
"617",3268,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",0,21,"(2) Remainder urban area 1,000,000 or more",2,"PHD",8,1,0,0,"8"
"989",3268,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",NA,22,"(2) Remainder urban area 1,000,000 or more",NA,"PHD",8,2,1,0,"8"
"1361",3268,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",2,"PHD",8,3,0,0,"8"
"1733",3268,"(2) Younger","Female","(5) Northcentral-Suburban",123,"(3) White",0,24,NA,2,"PHD",8,4,0,0,"8"
"246",3296,"(2) Younger","Female","(3) Northeast-Rural",135,"(3) White",1,20,"(5) Rural/small town 49,999 or less",0,"PHD",10,0,0,0,"10"
"618",3296,"(2) Younger","Female","(3) Northeast-Rural",135,"(3) White",1,21,"(5) Rural/small town 49,999 or less",0,"PHD",10,1,0,0,"10"
"990",3296,"(2) Younger","Female","(3) Northeast-Rural",135,"(3) White",1,22,"(5) Rural/small town 49,999 or less",0,"PHD",10,2,0,0,"10"
"1362",3296,"(2) Younger","Female","(3) Northeast-Rural",135,"(3) White",1,23,"(2) Remainder urban area 1,000,000 or more",0,"PHD",10,3,0,0,"10"
"1734",3296,"(2) Younger","Female","(3) Northeast-Rural",135,"(3) White",1,24,NA,0,"PHD",10,4,0,0,"10"
"247",3307,"(2) Younger","Female","(6) Northcentral-Rural",138,"(3) White",0,20,"(4) Urban areas & towns 50,000-499,999",1,"<PHD",8,0,0,0,"8"
"619",3307,"(2) Younger","Female","(6) Northcentral-Rural",138,"(3) White",0,21,"(4) Urban areas & towns 50,000-499,999",1,"<PHD",8,1,0,0,"8"
"991",3307,"(2) Younger","Female","(6) Northcentral-Rural",138,"(3) White",0,22,"(4) Urban areas & towns 50,000-499,999",1,"<PHD",8,2,0,0,"8"
"1363",3307,"(2) Younger","Female","(6) Northcentral-Rural",138,"(3) White",0,23,"(4) Urban areas & towns 50,000-499,999",1,"<PHD",8,3,0,0,"8"
"1735",3307,"(2) Younger","Female","(6) Northcentral-Rural",138,"(3) White",0,24,NA,1,"<PHD",8,4,0,0,"8"
"248",3334,"(2) Younger","Male","(11) West-Suburban",131,"(3) White",1,20,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,0,0,1,"8"
"620",3334,"(2) Younger","Male","(11) West-Suburban",131,"(3) White",1,21,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,1,0,1,"8"
"992",3334,"(2) Younger","Male","(11) West-Suburban",131,"(3) White",1,22,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,2,0,1,"8"
"1364",3334,"(2) Younger","Male","(11) West-Suburban",131,"(3) White",1,23,"(4) Urban areas & towns 50,000-499,999",2,"<PHD",8,3,0,1,"8"
"1736",3334,"(2) Younger","Male","(11) West-Suburban",131,"(3) White",1,24,NA,2,"<PHD",8,4,0,1,"8"
"249",3339,"(2) Younger","Male","(2) Northeast-Suburban",114,"(3) White",0,20,"(2) Remainder urban area 1,000,000 or more",1,"PHD",7,0,0,1,"7"
"621",3339,"(2) Younger","Male","(2) Northeast-Suburban",114,"(3) White",0,21,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,1,0,1,"8"
"993",3339,"(2) Younger","Male","(2) Northeast-Suburban",114,"(3) White",0,22,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,2,0,1,"8"
"1365",3339,"(2) Younger","Male","(2) Northeast-Suburban",114,"(3) White",0,23,"(2) Remainder urban area 1,000,000 or more",1,"PHD",8,3,0,1,"8"
"1737",3339,"(2) Younger","Male","(2) Northeast-Suburban",114,"(3) White",0,24,NA,2,"PHD",8,4,0,1,"8"
"250",3342,"(2) Younger","Male","(11) West-Suburban",130,"(3) White",1,20,"(3) Urban areas and towns 500,000-999,999",2,"PHD",8,0,0,1,"8"
"622",3342,"(2) Younger","Male","(11) West-Suburban",130,"(3) White",1,21,"(3) Urban areas and towns 500,000-999,999",2,"PHD",8,1,0,1,"8"
"994",3342,"(2) Younger","Male","(11) West-Suburban",130,"(3) White",1,22,"(3) Urban areas and towns 500,000-999,999",4,"PHD",8,2,0,1,"8"
"1366",3342,"(2) Younger","Male","(11) West-Suburban",130,"(3) White",1,23,"(3) Urban areas and towns 500,000-999,999",4,"PHD",8,3,0,1,"8"
